userId,userType,historySize,history,timestampHistory,numberOfClicksHistory,timeOnPageHistory,scrollPercentageHistory,pageVisitsCountHistory,timestampHistory_new
623524b336b67b02a6ecadbbdc3cfddda6ad862f471377a8a32761367d7d9a62,Non-Logged,3,"a41f1443-a3c4-47d1-a68c-3d396702ec1d, ce30e54f-c1e1-4509-bdfd-a2e1a636ec90, ebd8ad15-7ebf-4c1e-949a-e583318ef613","1659985338538, 1660162428626, 1660172307164","0, 0, 0","230000, 17296, 150000","44.41, 27.95, 55.78","1, 1, 1","1659985338538, 1660162428626, 1660172307164"
bf104d985a6c1350dad226a92bc945aac728967887490afe8af75db102b77c31,Non-Logged,3,"fd03108c-f9a1-4094-b902-ee019d334173, 0819b74d-b28a-4702-90a2-9d205dd9fc5e, 012c617d-12c3-4377-a466-f0586bbeaea6","1657619746872, 1657619954174, 1659078227403","21, 110, 13","120000, 440000, 88260","68.17, 76.21, 41.92","1, 1, 1","1657619746872, 1657619954174, 1659078227403"
a30ddec3391d0f5473357822a7f6c0a33104371aa3aa2f511a7014ea774b3887,Non-Logged,3,"529a23e0-baa8-4824-9554-416ceba464ae, cc257e11-4a4e-4c59-920f-9952c060f17a, c8ec4884-1c89-46c3-a2c9-9ef270db1450","1657212323824, 1657912087925, 1657912097127","18, 12, 9","20000, 48101, 10000","48.87, 15.99, 32.53","1, 1, 1","1657212323824, 1657912087925, 1657912097127"
ae53bb41e2dcb03957b9fedfe172320a98cb2d7d7ec231e9a2528751bbb00a36,Non-Logged,3,"4c63d7cd-4902-4ffb-9b94-578b1b2151f0, 9361ef74-f867-4ce3-9255-9cda6c09e7df, 85fbdda8-d6c6-4f8f-a5e3-688bdc370e98","1657108400814, 1657108882661, 1657279593694","0, 1, 0","20000, 40000, 10000","25.59, 32.45, 15.74","1, 1, 1","1657108400814, 1657108882661, 1657279593694"
28f43cbe7ef92af86ee5432b337df331caef7119070b59416864f4ab7ab60e59,Logged,3,"46d129c6-9891-458c-b4b1-0a3e5d0babc8, e63ef205-d49a-4cd6-ac85-059535e3d68c, e88f8469-075d-42d1-ac9b-f8708ca40e76","1659350944826, 1659379226048, 1659653781362","7, 1, 1","20145, 60000, 227371","27.53, 75.67, 61.9","1, 1, 1","1659350944826, 1659379226048, 1659653781362"
d193220ccb6599053fecee04e966d118782524e021b3d9f81fd8bf388df52750,Non-Logged,3,"81045781-3826-4ef5-9400-00a79e803206, 9370d6e6-74c7-49b2-b761-7cabbda39d3b, 3169f0fc-a8d3-43f1-99b3-87a8bd76138b","1656978673621, 1657151726960, 1659886185290","9, 20, 9","40000, 178522, 50000","39.35, 85.51, 32.19","1, 1, 1","1656978673621, 1657151726960, 1659886185290"
415b65f3a504cba8d19fec498ef234f9e8998dcc0c66eae58bb5480b046b40c1,Non-Logged,3,"00e2fecf-d3c4-4487-9a19-f67d90afd534, e0759f33-8ce8-47a9-a15e-090c66161c54, dc03ca80-09bc-4dbf-a78f-7d5113393897","1659008933760, 1659401451207, 1660136965607","1, 1, 1","60000, 26649, 23745","38.56, 51.06, 87.8","1, 1, 1","1659008933760, 1659401451207, 1660136965607"
4a019ec3bb5e9218c3ab3536eab6afcd1c02f4204275a1696f1badbb149e5457,Non-Logged,3,"d4eb1834-28f5-48c9-a713-84471fbc593f, dddbb4f6-28d7-4a7f-ae3b-cbca7db93ac8, 345f8759-047b-4e5e-b0f6-3066cc868791","1657667317082, 1658070215522, 1658963098689","1, 1, 0","10000, 189308, 22904","19.73, 53.35, 57.34","1, 1, 1","1657667317082, 1658070215522, 1658963098689"
eba67624d2c1bf159e36eefa840c63d30c3bb67afdeedd62fd68a9f1e70ff453,Non-Logged,3,"c85cb6f6-60e1-4a94-8f8f-6b436bb1d77c, 4766ab42-d97d-4be1-bf10-4e9568be1107, 8a75f998-5a45-466e-9570-4889cbb5e664","1657036126802, 1658519788558, 1659562989665","2, 8, 3","20000, 90000, 57331","64.44, 67.38, 53.67","1, 1, 1","1657036126802, 1658519788558, 1659562989665"
2c0bb4ba3bf26fae4f1afa25d90be49d6e84455ee200bb87e63555d4811cd206,Non-Logged,3,"6f00ce44-5330-4a28-90c0-ac2e1aa299ac, 4e9c2825-ff13-41ca-8e91-edd848060d19, 90ce8f17-3949-42bc-aee2-6a98cf2329ba","1659474448401, 1659474460482, 1659474619986","6, 16, 5","10000, 25501, 10000","40.78, 37.35, 59.03","1, 1, 1","1659474448401, 1659474460482, 1659474619986"
